product,URL,Image,ratings,price,platform
"Kettlekane 500ml 2 in 1 Olive Oil Sprayer and Oil Dispenser Bottle for Kitchen, Glass Oil Bottle with Premium Nozzle, Oil Sprayer for Air Fryer, Salad,BBQ,Roasting (Multi Color) (Pack of 1)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQ2MzUwNTk0ODgyNjE2OjE3Mzk5MzUxNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA4OTA3MzgzMjgzMjo6Mzo6&url=%2FKettlekane-Sprayer-Dispenser-Kitchen-Roasting%2Fdp%2FB0CM278B69%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0CM278B69%26pd_rd_r%3D4f86d4fa-978d-424a-9df0-718c29cb3ff6%26pd_rd_w%3DQesRm%26pd_rd_wg%3Dsa9hI%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DATDEP7QJ85164XK1J97X%26qid%3D1739935169%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA30PORC81J3RML,https://m.media-amazon.com/images/I/71djacjf6BL._AC_UL320_.jpg,4.2,799,AMAZON
"SEAHELTON Food Warming Mat – Roll Up Food Warmer with Fast & Even Heating, Premium-Grade Silicon Material, 5 Temperature Settings, Auto Shut-Off - Versatile Food Warmers",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTk2NzU0NTcwNTI2MzkzOjE3Mzk5MzUxNjk6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDAzNzg4NTY3NTc0MzI6OjE6Og&url=%2FSEAHELTON-Food-Warming-Mat-Premium-Grade%2Fdp%2FB0DKP2P1HL%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%253Aamzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0DKP2P1HL%26pd_rd_r%3D95f4f5bf-5a73-43f9-ab59-d429ffe7850d%26pd_rd_w%3DzOCjy%26pd_rd_wg%3D8S6Wq%26pf_rd_p%3D030b404d-71b4-44ac-bd40-72a281aab15b%26pf_rd_r%3DATDEP7QJ85164XK1J97X%26qid%3D1739935169%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-2-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/7135-Bthy6L._AC_UL320_.jpg,4.4,"9,999",AMAZON
"Kettlekane 500ml 2 in 1 Olive Oil Sprayer and Oil Dispenser Bottle for Kitchen, Glass Oil Bottle with Premium Nozzle, Oil Sprayer for Air Fryer, Salad,BBQ,Roasting (Multi Color) (Pack of 1)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTk2NzU0NTcwNTI2MzkzOjE3Mzk5MzUxNjk6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDAwODkwNzM4MzI4MzI6OjI6Og&url=%2FKettlekane-Sprayer-Dispenser-Kitchen-Roasting%2Fdp%2FB0CM278B69%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%253Aamzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0CM278B69%26pd_rd_r%3D95f4f5bf-5a73-43f9-ab59-d429ffe7850d%26pd_rd_w%3DzOCjy%26pd_rd_wg%3D8S6Wq%26pf_rd_p%3D030b404d-71b4-44ac-bd40-72a281aab15b%26pf_rd_r%3DATDEP7QJ85164XK1J97X%26qid%3D1739935169%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-3-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1%26smid%3DA30PORC81J3RML,https://m.media-amazon.com/images/I/71djacjf6BL._AC_UL320_.jpg,4.2,799,AMAZON
"BELOXY USB Plasma Rechargeable Electric Gas Lighter for Kitchen, Pooja Room, Candles, BBQ, Multi Purpose - 360 Degree Flexible & Windproof",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTk2NzU0NTcwNTI2MzkzOjE3Mzk5MzUxNjk6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA0MzcxMjM0NDE5MzI6OjM6Og&url=%2FBELOXY-Rechargeable-Electric-Lighter-Kitchen%2Fdp%2FB0DKBDS2Z2%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%253Aamzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0DKBDS2Z2%26pd_rd_r%3D95f4f5bf-5a73-43f9-ab59-d429ffe7850d%26pd_rd_w%3DzOCjy%26pd_rd_wg%3D8S6Wq%26pf_rd_p%3D030b404d-71b4-44ac-bd40-72a281aab15b%26pf_rd_r%3DATDEP7QJ85164XK1J97X%26qid%3D1739935169%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-4-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/61Q8+jxukeL._AC_UL320_.jpg,4.5,649,AMAZON
"Wosta Travel Mug, Insulated Coffee Cup with Leakproof Lid,Vacuum Insulation Stainless Steel Reusable for Hot Cold Coffee, Non-Slip Protective Cover, (Brown, 420 Ml Without Smart Display)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTk2NzU0NTcwNTI2MzkzOjE3Mzk5MzUxNjk6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDAyNTIzNTIyOTkyMzI6OjQ6Og&url=%2FWosta-Insulation-Brown-Without-Display%2Fdp%2FB0CS6TD5L8%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%253Aamzn1.sym.030b404d-71b4-44ac-bd40-72a281aab15b%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0CS6TD5L8%26pd_rd_r%3D95f4f5bf-5a73-43f9-ab59-d429ffe7850d%26pd_rd_w%3DzOCjy%26pd_rd_wg%3D8S6Wq%26pf_rd_p%3D030b404d-71b4-44ac-bd40-72a281aab15b%26pf_rd_r%3DATDEP7QJ85164XK1J97X%26qid%3D1739935169%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-5-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1,https://m.media-amazon.com/images/I/51rxb2ZjrEL._AC_UL320_.jpg,4.1,"1,999",AMAZON
"Elica Vetro Glass Top 3 Burner Gas Stove (7031 CT VETRO Black), Manual Ignition",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjE4NDIxNTIwNTM0ODQ3OjE3Mzk5MzUxODQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDMyMDAyOTYyOTA4OjowOjo&url=%2FElica-Burner-7031-CT-VETRO%2Fdp%2FB08F2VTN3X%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB08F2VTN3X%26pd_rd_r%3D3e97b76a-8eee-45bb-bce7-404cdc1b1c1b%26pd_rd_w%3D4MCyr%26pd_rd_wg%3Dspo3Q%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DKGVY0WQZRVZ5Q4RV4C7G%26qid%3D1739935183%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-49-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61mDAA8obWL._AC_UL320_.jpg,4.2,"5,990",JIOMART
"VOLTURI Fridge Storage Containers (Pack of 6), Fridge Organizer with Removable Drain Plate & Secure-Sealing Lids, Fridge Storage Boxes Keep Fruits, Vegetables Fresher, Container Box, 1500 ML",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjE4NDIxNTIwNTM0ODQ3OjE3Mzk5MzUxODQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA2NTI3NDUxNDEzMjo6MTo6&url=%2FVOLTURI-Fridge-Storage-Boxes-Vegetables%2Fdp%2FB09SHN6916%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB09SHN6916%26pd_rd_r%3D3e97b76a-8eee-45bb-bce7-404cdc1b1c1b%26pd_rd_w%3D4MCyr%26pd_rd_wg%3Dspo3Q%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DKGVY0WQZRVZ5Q4RV4C7G%26qid%3D1739935183%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-50-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/81oM89l7hfL._AC_UL320_.jpg,4.2,83.17,JIOMART
"Wolpin Cutlery Set for Lunch Box (Set of 3 Pcs) Re-usable Spoon Set Premium Stainless Steel (Spoon, Fork, Chopsticks, Travel Spoon Box) Portable Tableware Men Women Office, Home School Kids, Yellow",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjE4NDIxNTIwNTM0ODQ3OjE3Mzk5MzUxODQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyNDg0Nzk1MTEzMjo6Mjo6&url=%2FRe-usable-Stainless-Chopsticks-Portable-Tableware%2Fdp%2FB0CBX8GKT6%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0CBX8GKT6%26pd_rd_r%3D3e97b76a-8eee-45bb-bce7-404cdc1b1c1b%26pd_rd_w%3D4MCyr%26pd_rd_wg%3Dspo3Q%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DKGVY0WQZRVZ5Q4RV4C7G%26qid%3D1739935183%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-51-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/715+bV29t4L._AC_UL320_.jpg,4.1,799,JIOMART
"Meyer Bakemaster Carbon Steel Non Stick Springform Cake Tin | Baking Pan | Round Cake Mould | Cake Tin Small | Cake Tray for Baking | Removable Cake Mould | Spring Form pan, 16cm, Grey",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjE4NDIxNTIwNTM0ODQ3OjE3Mzk5MzUxODQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA2NTk3Njk5OTAzMjo6Mzo6&url=%2FMeyer-Bakemaster-Non-Stick-Bakeware-Springform%2Fdp%2FB07HFC6JLK%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB07HFC6JLK%26pd_rd_r%3D3e97b76a-8eee-45bb-bce7-404cdc1b1c1b%26pd_rd_w%3D4MCyr%26pd_rd_wg%3Dspo3Q%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DKGVY0WQZRVZ5Q4RV4C7G%26qid%3D1739935183%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-52-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/51fMFKJbBOS._AC_UL320_.jpg,4.2,"1,375",JIOMART
Zipify zip lock bags for food storage - Pack of 45 | Combo Pack Size (15 Small + 15 Medium + 15 Large) | Reusable and Reclosable ziplock pouch | ziplock bags for fridge | freezer bags,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjE4NDIxNTIwNTM0ODQ3OjE3Mzk5MzUxODQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMzNzYwMzk2NzQzMjo6NDo6&url=%2FZipify-lock-bags-food-storage%2Fdp%2FB0CZNM35RC%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0CZNM35RC%26pd_rd_r%3D3e97b76a-8eee-45bb-bce7-404cdc1b1c1b%26pd_rd_w%3D4MCyr%26pd_rd_wg%3Dspo3Q%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DKGVY0WQZRVZ5Q4RV4C7G%26qid%3D1739935183%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-53-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/81g9hR1S0ZL._AC_UL320_.jpg,4.3,6.64,AMAZON
